"Variable","Method","Horizon","IRF","Lower","Upper"
"Core CPI","Lag-Augmented LP (Smoothed)",1,0.0258677130238333,-0.00534564520428866,0.0570810712519552
"Core CPI","Lag-Augmented LP (Smoothed)",2,0.0421059886115763,-0.00820297834693517,0.0924149555700879
"Core CPI","Lag-Augmented LP (Smoothed)",3,0.0467725074289673,-0.0188514324896488,0.112396447347584
"Core CPI","Lag-Augmented LP (Smoothed)",4,0.0516599537280257,-0.0270401093501068,0.130360016806158
"Core CPI","Lag-Augmented LP (Smoothed)",5,0.0605421442455141,-0.0302523474387805,0.151336635929809
"Core CPI","Lag-Augmented LP (Smoothed)",6,0.0781433077086887,-0.0229466246044539,0.179233240021831
"Core CPI","Lag-Augmented LP (Smoothed)",7,0.0940337266165947,-0.0170067904531763,0.205074243686366
"Core CPI","Lag-Augmented LP (Smoothed)",8,0.118390283400756,-0.000521565153173018,0.237302131954685
"Core CPI","Lag-Augmented LP (Smoothed)",9,0.143168964960482,0.0143196374178705,0.272018292503093
"Core CPI","Lag-Augmented LP (Smoothed)",10,0.161685867146766,0.0186876475693019,0.30468408672423
"Core CPI","Lag-Augmented LP (Smoothed)",11,0.168326225633436,0.00762412498290521,0.329028326283967
"Core CPI","Lag-Augmented LP (Smoothed)",12,0.16279349796914,-0.0165795925780249,0.342166588516305
"Core CPI","Lag-Augmented LP (Smoothed)",13,0.162092065330545,-0.0329117719603132,0.357095902621404
"Core CPI","Lag-Augmented LP (Smoothed)",14,0.171005760708731,-0.0354788555069298,0.377490376924393
"Core CPI","Lag-Augmented LP (Smoothed)",15,0.196818560529972,-0.0174649428193347,0.411102063879278
"Core CPI","Lag-Augmented LP (Smoothed)",16,0.229897523768057,0.00672525666629967,0.453069790869815
"Core CPI","Lag-Augmented LP (Smoothed)",17,0.262898871745702,0.0298882830187748,0.49590946047263
"Core CPI","Lag-Augmented LP (Smoothed)",18,0.288503271642027,0.0415817689137095,0.535424774370345
"Core CPI","Lag-Augmented LP (Smoothed)",19,0.309273446386101,0.0483348175092889,0.570212075262912
"Core CPI","Lag-Augmented LP (Smoothed)",20,0.322621370762402,0.0483477668841847,0.596894974640618
"Core CPI","Lag-Augmented LP (Smoothed)",21,0.335867726578138,0.0468327164403915,0.624902736715884
"Core CPI","Lag-Augmented LP (Smoothed)",22,0.34814451909328,0.0435511657058528,0.652737872480706
"Core CPI","Lag-Augmented LP (Smoothed)",23,0.35386339817227,0.0346538419546842,0.673072954389856
"Core CPI","Lag-Augmented LP (Smoothed)",24,0.356551036995939,0.0252376724516997,0.687864401540178
"Core CPI","Lag-Augmented LP (Smoothed)",25,0.363719393665423,0.0226847051717725,0.704754082159074
"Core CPI","Lag-Augmented LP (Smoothed)",26,0.384571472014922,0.0327555879824909,0.736387356047352
"Core CPI","Lag-Augmented LP (Smoothed)",27,0.412528403442925,0.0514917086198793,0.77356509826597
"Core CPI","Lag-Augmented LP (Smoothed)",28,0.441095471429052,0.0691583990443079,0.813032543813797
"Core CPI","Lag-Augmented LP (Smoothed)",29,0.473820892101451,0.0901352270343787,0.857506557168523
"Core CPI","Lag-Augmented LP (Smoothed)",30,0.495708087993751,0.0998901337801197,0.891526042207382
"Core CPI","Lag-Augmented LP (Smoothed)",31,0.50521712839716,0.0988057355820825,0.911628521212237
"Core CPI","Lag-Augmented LP (Smoothed)",32,0.497019611614797,0.0838388694370945,0.9102003537925
"Core CPI","Lag-Augmented LP (Smoothed)",33,0.489332400165585,0.0712062870874608,0.90745851324371
"Core CPI","Lag-Augmented LP (Smoothed)",34,0.495946806564449,0.0745278123790497,0.917365800749847
"Core CPI","Lag-Augmented LP (Smoothed)",35,0.504477625567384,0.0787286984169243,0.930226552717843
"Core CPI","Lag-Augmented LP (Smoothed)",36,0.518073160392216,0.0867061519701973,0.949440168814235
